Leste,Sagrada Família
Oeste,Buritis
Noroeste,Padre Eustáquio
Barreiro,Lindéia
Pampulha,Santa Mônica
Pampulha,Céu Azul
Nordeste,Santa Cruz
Centro-Sul,Santo Antônio
Leste,Alto Vera Cruz
Venda Nova,Jardim dos Comerciários
Venda Nova,Piratininga
Venda Nova,Mantiqueira
Centro-Sul,Serra
Centro-Sul,Sion
Centro-Sul,Lourdes
Pampulha,Santa Amélia
Oeste,Cabana do Pai Tomás
Centro-Sul,Santa Efigênia
Noroeste,Pindorama
Leste,Boa Vista
Oeste,Gutierrez
Pampulha,Ouro Preto
Pampulha,Castelo
Norte,Planalto
Venda Nova,São João Batista
Centro-Sul,Centro
Nordeste,Goiânia
Norte,Jaqueline
Norte,Ribeiro de Abreu
Pampulha,Santa Terezinha
Leste,Santa Tereza
Norte,Jardim Felicidade
Nordeste,Cidade Nova
Noroeste,Carlos Prates
Oeste,Estrela Dalva
Oeste,Havaí
Oeste,Nova Suissa
Leste,Conjunto Taquaril
Nordeste,União
Oeste,Salgado Filho
Barreiro,Araguaia
Noroeste,Glória
Venda Nova,Serra Verde
Leste,São Geraldo
Oeste,Prado
Nordeste,São Gabriel
Norte,Tupi B
Leste,Paraíso
Pampulha,Copacabana
Noroeste,Caiçaras
Oeste,Camargos
Venda Nova,Rio Branco
Centro-Sul,Anchieta
Nordeste,Ipiranga
Barreiro,Milionários
Oeste,Betânia
Barreiro,Diamante
Centro-Sul,Floresta
Centro-Sul,Savassi
Norte,Jardim Guanabara
Oeste,Vila Vista Alegre
Barreiro,Tirol
Oeste,Jardim América
Noroeste,Caiçara Adelaide
Nordeste,Concórdia
Norte,Tupi A
Venda Nova,Minascaixa
Barreiro,Cardoso
Leste,Colégio Batista
Barreiro,Barreiro
Venda Nova,Europa
Pampulha,Serrano
Pampulha,Jardim Alvorada
Centro-Sul,Santo Agostinho
Noroeste,Aparecida
Norte,Floramar
Noroeste,Dom Bosco
Noroeste,João Pinheiro
Centro-Sul,Nossa Senhora de Fátima
Nordeste,Jardim Vitória
Pampulha,Alípio de Melo
Oeste,Nova Gameleira
Pampulha,Itapoã
Venda Nova,Jardim Leblon
Nordeste,Cachoeirinha
Barreiro,Bairro das Indústrias I
Leste,Santa Inês
Venda Nova,Lagoa
Norte,São Bernardo
Nordeste,Renascença
Pampulha,Dona Clara
Centro-Sul,Funcionários
Oeste,Belvedere
Nordeste,Maria Goretti
Leste,Nova Vista
Barreiro,Independência
Norte,Novo Aarão Reis
Pampulha,Manacás
Barreiro,Vila Pinho
Leste,Esplanada
Nordeste,Nazaré
Centro-Sul,Cruzeiro
Barreiro,Vale do Jatobá
Centro-Sul,Vila Barragem Santa Lúcia
Norte,Providência
Barreiro,Flávio Marques Lisboa
Noroeste,Novo Glória
Norte,Guarani
Venda Nova,Letícia
Venda Nova,Maria Helena
Noroeste,Coqueiros
Noroeste,Coração Eucarístico
Oeste,Palmeiras
Barreiro,Itaipu
Venda Nova,Candelária
Oeste,Calafate
Norte,São Tomáz
Noroeste,Alto Caiçaras
Noroeste,Santo André
Oeste,Santa Lúcia
Norte,Vila Clóris
Oeste,Santa Maria
Oeste,Ventosa
Barreiro,Brasil Industrial
Pampulha,Jardim São José
Nordeste,São Marcos
Pampulha,Santa Rosa
Norte,Heliópolis
Venda Nova,Apolônia
Centro-Sul,Marçola
Norte,Minaslândia
Barreiro,Bonsucesso
Pampulha,Paquetá
Centro-Sul,Luxemburgo
Leste,Casa Branca
Centro-Sul,São Pedro
Oeste,Grajaú
Centro-Sul,Nossa Senhora da Conceição
Nordeste,Paulo VI
Centro-Sul,Barro Preto
Barreiro,Teixeira Dias
